subject,body,label
"Solicitação de aprovação","Por favor, aprove o documento para que possamos prosseguir.","produtivo"
"Detalhes do evento","Detalhes sobre o evento do próximo mês estão no anexo.","produtivo"
"Aviso de manutenção","Haverá uma manutenção programada no sistema.","produtivo"
"Atualização de endereço","Por favor, atualize o endereço de entrega em nosso sistema.","produtivo"
"Solicitação de cotação","Gostaria de solicitar uma cotação para o serviço X.","produtivo"
"Novo membro da equipe","Gostaria de apresentar o novo membro da equipe, João.","produtivo"
"Acesso ao sistema","Seu acesso ao novo sistema foi liberado.","produtivo"
"Reunião individual","Gostaria de agendar uma reunião individual com você.","produtivo"
"Lembrete de prazo","Lembrete: o prazo para a entrega do projeto é amanhã.","produtivo"
"Convite para evento","Você está convidado para o nosso evento de lançamento.","produtivo"
"Confirmação de inscrição","Sua inscrição para o curso foi confirmada.","produtivo"
"Material de treinamento","O material de treinamento para o novo software está pronto.","produtivo"
"Pesquisa de mercado","Resultados da pesquisa de mercado para sua análise.","produtivo"
"Revisão de contrato","Por favor, revise o contrato antes de assinarmos.","produtivo"
"Relatório de gastos","Seu relatório de gastos para o último mês.","produtivo"
"Documento assinado","O documento foi assinado digitalmente e está no anexo.","produtivo"
"Planejamento de equipe","Gostaria de discutir o planejamento para nossa equipe.","produtivo"
"Feedback sobre a proposta","Tenho um feedback sobre a sua proposta de projeto.","produtivo"
"Dados de faturamento","Dados de faturamento do último trimestre para sua análise.","produtivo"
"Confirmação de pedido","Seu pedido foi processado e está a caminho.","produtivo"
"Convidado para o projeto","Você foi convidado a participar do projeto X.","produtivo"
"Relatório de desempenho","O relatório de desempenho do seu time está pronto.","produtivo"
"Análise de concorrência","Análise detalhada da nossa concorrência.","produtivo"
"Novo cliente","Temos um novo cliente, gostaria de apresentá-lo.","produtivo"
"Proposta comercial","Aqui está nossa proposta comercial para o serviço Y.","produtivo"
"Reunião de acompanhamento","Vamos fazer uma reunião de acompanhamento na próxima semana.","produtivo"
"Tarefa delegada","A tarefa Z foi delegada a você.","produtivo"
"Detalhes do projeto","Detalhes e especificações do projeto A para sua revisão.","produtivo"
"Status do pedido","O status do seu pedido mudou para 'enviado'.","produtivo"
"Aviso de férias","Estarei de férias a partir de segunda-feira.","produtivo"
"Confirmação de entrega","Confirmo a entrega dos materiais hoje.","produtivo"
"Pauta da reunião","A pauta da reunião de amanhã está no anexo.","produtivo"
"Resultados da pesquisa","Resultados da nossa última pesquisa de satisfação.","produtivo"
"Convite para apresentação","Gostaria de convidá-lo para a apresentação dos resultados.","produtivo"
"Atualização de regras","As novas regras de segurança estão em vigor.","produtivo"
"Novo processo","Há um novo processo para a aprovação de despesas.","produtivo"
"Lembrete de relatório","Lembrete para o relatório que vence hoje.","produtivo"
"Perguntas sobre a proposta","Tenho algumas perguntas sobre a proposta que você enviou.","produtivo"
"Confirmação de recebimento do currículo","Confirmo o recebimento do seu currículo.","produtivo"
"Aviso de reajuste","Haverá um pequeno reajuste nos preços.","produtivo"
"Solicitação de material","Preciso de alguns materiais para a apresentação.","produtivo"
"Apresentação final","A apresentação final do projeto está pronta.","produtivo"
"Dúvidas sobre o produto","Tenho algumas dúvidas sobre as funcionalidades do produto.","produtivo"
"Relatório de erros","Relatório de erros encontrados no sistema.","produtivo"
"Confirmação de inscrição","Sua inscrição no evento foi confirmada.","produtivo"
"Próxima etapa","A próxima etapa do projeto é a fase de testes.","produtivo"
"Solicitação de aprovação","Por favor, aprove o layout da newsletter.","produtivo"
"Informação de contato","Segue a informação de contato do novo fornecedor.","produtivo"
"Aviso de atualização","Aviso de uma nova atualização do software.","produtivo"
"Relatório de atividades","Relatório de atividades da equipe para a semana.","produtivo"
"Planejamento de marketing","Gostaria de discutir o planejamento de marketing.","produtivo"
"Resultados de testes","Resultados dos testes de usabilidade estão no anexo.","produtivo"
"Convite para workshop","Gostaria de convidá-lo para o nosso workshop.","produtivo"
"Lembrete de reunião","Lembrete: nossa reunião é às 15h.","produtivo"
"Documento corrigido","O documento foi corrigido e está no anexo.","produtivo"
"Aprovação de arte","Por favor, aprove a arte para a campanha publicitária.","produtivo"
"Informação de pagamento","Informação de pagamento para o fornecedor X.","produtivo"
"Relatório de vendas","Relatório de vendas detalhado para o mês de maio.","produtivo"
"Solicitação de férias","Sua solicitação de férias foi aprovada.","produtivo"
"Atualização de status","Status do seu projeto foi atualizado para 'em andamento'.","produtivo"
"Confirmação de agendamento","O agendamento da reunião foi confirmado.","produtivo"
"Apresentação de resultados","Apresentação dos resultados do último trimestre.","produtivo"
"Relatório de estoque","Relatório do estoque atualizado.","produtivo"
"Solicitação de licença","Sua solicitação de licença foi recebida e está em análise.","produtivo"
"Informação sobre a folha de pagamento","Sua folha de pagamento está disponível.","produtivo"
"Convite para café","Gostaria de tomar um café e discutir o projeto.","produtivo"
"Aprovação de orçamento","Seu pedido de orçamento foi aprovado.","produtivo"
"Detalhes do treinamento","Detalhes sobre o treinamento de amanhã.","produtivo"
"Solicitação de reembolso","O reembolso das suas despesas foi processado.","produtivo"
"Relatório de gastos","Seu relatório de gastos de viagem.","produtivo"
"Feedback sobre a apresentação","Tenho um feedback construtivo sobre sua apresentação.","produtivo"
"Relatório de eficiência","Relatório de eficiência operacional do mês.","produtivo"
"Dados de mercado","Dados recentes do mercado para a análise da equipe.","produtivo"
"Próximos passos da campanha","Precisamos discutir os próximos passos da campanha.","produtivo"
"Aviso de mudança","Haverá uma mudança no procedimento de aprovação.","produtivo"
"Confirmação de evento","O evento foi confirmado para a data X.","produtivo"
"Revisão de documentos","Preciso que você revise os documentos em anexo.","produtivo"
"Análise de custos","Análise detalhada dos custos do projeto.","produtivo"
"Feedback sobre o protótipo","Tenho algumas sugestões para o protótipo.","produtivo"
"Relatório de segurança","Relatório de segurança do sistema para o último mês.","produtivo"
"Convite para reunião semanal","Convite para a nossa reunião semanal de equipe.","produtivo"
"Status da vaga","O status da vaga que você se candidatou foi atualizado.","produtivo"
"Documentação técnica","A documentação técnica do novo sistema está pronta.","produtivo"
"Aprovação de post","Por favor, aprove o texto para o post de amanhã.","produtivo"
"Relatório de incidentes","Relatório detalhado dos incidentes do último dia.","produtivo"
"Aviso de sistema fora do ar","O sistema estará fora do ar para manutenção brevemente.","produtivo"
"Solicitação de informação","Preciso de mais informações sobre o produto.","produtivo"
"Confirmação de recebimento da encomenda","Confirmo o recebimento da sua encomenda.","produtivo"
"Relatório de visitas","Relatório de visitas ao site no último mês.","produtivo"
"Reunião de planejamento","Vamos agendar a reunião de planejamento para a semana que vem.","produtivo"
"Aprovação de pedido","Seu pedido de suprimentos foi aprovado.","produtivo"
"Relatório de métricas","Relatório de métricas de marketing.","produtivo"
"Confirmação de viagem","Sua viagem foi confirmada.","produtivo"
"Feedback do cliente","Feedback positivo do cliente sobre nosso serviço.","produtivo"
"Planejamento de conteúdo","Planejamento de conteúdo para o próximo mês.","produtivo"
